"Language";"Intended use";"Imperative";"Object-oriented";"Functional";"Procedural";"Generic";"Reflective";"Event-driven";"Other paradigm(s)";"Standardized?"
"25";"Clean";"General";"";"";"Yes";"";"Yes";"";"";"";"No"
"26";"Clojure";"General";"";"";"Yes";"";"";"";"";"concurrent";"No"
"27";"CLU";"General";"Yes";"Yes";"";"Yes";"Yes";"";"";"";"No"
"28";"COBOL";"Application, business";"Yes";"Yes";"";"Yes";"";"";"";"";"ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014"
"29";"Cobra";"Application, business, general, web";"Yes";"Yes";"Yes";"";"Yes";"Yes";"";"";"No"
"30";"ColdFusion (CFML)";"Web";"";"Yes";"";"Yes";"";"";"";"";"No"
"31";"Common Lisp";"General";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent";"1994, ANSI"
"32";"COMAL 80";"Education";"Yes";"";"";"Yes";"";"";"";"";"No"
"33";"Crystal";"General purpose";"Yes";"Yes[21]";"Yes";"Yes";"";"";"";"alpha stage[22]";"No"
"34";"Curry";"Application";"";"";"Yes";"";"Yes";"";"";"lazy evaluation, non-determinism";"De facto standard via Curry Language Report"
"35";"Cython";"Application, general, numerical computing";"Yes";"Yes";"Yes";"";"";"Yes";"";"aspect-oriented";"No"
"36";"D";"Application, system";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"";"generative, concurrent";"No"
"37";"Dart";"Application, web, server-side, mobile, IoT";"Yes";"Yes";"Yes";"";"";"";"";"structured";"Ecma-408 standard"
"38";"Dylan";"Application";"";"Yes";"Yes";"";"";"";"";"";"No"
"39";"Eiffel";"General, application, business, client-side, server-side, web (EWF)";"Yes";"Yes";"Yes[23][24]";"";"Yes";"Yes Erl-G";"Yes Agents";"distributed SCOOP, Void-safe";"2005, ECMA, ISO[25]"
"40";"Elixir";"Application, distributed";"";"";"Yes";"";"";"";"Yes";"concurrent, distributed";"No"
"41";"Erlang";"Application, distributed";"";"";"Yes";"";"";"";"Yes";"concurrent, distributed";"No"
"42";"Euphoria";"Application";"";"";"";"Yes";"";"Yes";"";"";"No"
"43";"Factor";"General";"Yes";"";"can be viewed as";"";"Yes";"Yes";"";"stack-oriented";"No"
"44";"FP";"";"";"";"Yes";"";"";"";"";"";"No"
"45";"F#";"Application";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"";"No"
"46";"Forth";"General";"Yes";"";"can be viewed as";"";"";"";"";"stack-oriented";"1994, ANSI"
"47";"Fortran";"Application, numerical computing";"Yes";"Yes";"Yes";"Yes";"Yes";"";"";"array-based, vectorized, concurrent, native distributed/shared-memory parallelism";"1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008), ISO/IEC JTC1/SC22/WG5 N2145 (2018)"
"48";"FreeBASIC";"Application, numerical computing";"Yes";"Yes";"";"Yes";"Yes";"";"";"";"No"
"49";"Gambas";"Application";"Yes";"Yes";"";"";"";"";"Yes";"";"No"
"50";"Game Maker Language";"Application, games";"Yes";"Yes";"";"";"";"";"Yes";"";"No"
"51";"GLBasic";"Application, games";"Yes";"Yes";"";"Yes";"";"";"";"simple object-oriented";"No"
"52";"Go";"Application, web, server-side";"Yes";"[26]";"";"Yes";"";"Yes";"Yes";"concurrent";"De facto standard via Go Language Specification"
"53";"Gosu";"Application, general, scripting, web";"Yes";"Yes";"";"";"Yes";"Yes";"";"";"No"
"54";"GraphTalk";"Application";"";"Yes";"";"";"";"";"";"logic";"No"
"55";"Groovy";"Application, general, scripting, web";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"meta-programming";"In progress, JCP[27]"
"56";"Harbour";"Application, business, data processing, general, web";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"";"declarative";"No"
"57";"Haskell";"Application";"";"";"Yes";"";"Yes";"";"";"lazy evaluation";"2010, Haskell 2010[28]"
"58";"Haxe";"Application, general, web";"Yes";"Yes";"Yes";"";"Yes";"Yes";"";"";"No"
"59";"HyperNext";"Application, education";"";"";"";"Yes";"";"";"Yes";"weakly typed";"No"
"60";"HyperTalk";"Application, RAD, general";"";"Yes";"";"";"";"";"Yes";"weakly typed";"Un­known"
"61";"Io";"Application, host-driven scripting";"Yes";"Yes";"";"";"";"";"";"";"No"
"62";"IPL";"General";"";"";"Yes";"";"";"";"";"";"Un­known"
"63";"ISLISP";"General";"Yes";"Yes";"Yes";"";"Yes";"";"";"";"1997, ISO"
"64";"J";"Data processing";"";"";"";"";"";"";"";"array-oriented, function-level, tacit";"No"
"65";"JADE";"Application, distributed";"Yes";"Yes";"";"";"";"";"";"";"No"
"66";"Java";"Application, business, client-side, general, mobile development, server-side, web";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"concurrent";"De facto standard via Java Language Specification"
"67";"JavaScript";"Client-side, server-side, web";"Yes";"Yes";"Yes";"Yes";"";"Yes";"Yes";"prototype-based";"1997, ECMA"
"68";"Joy";"Research";"";"";"Yes";"";"";"";"";"stack-oriented";"No"
"69";"Julia";"General, technical computing";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"";"multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (\"cloud\")";"No"
"70";"K";"Data processing, business";"";"";"";"";"";"";"";"array-oriented, tacit";"Un­known"
"71";"Kotlin";"Application, mobile development, server-side, client-side, web";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes[29]";"Yes";"";"No"
"72";"Ksh";"Shell, scripting";"Yes";"Yes";"";"Yes";"";"";"";"several variants, custom programmable, dynamic loadable modules";"1992, POSIX.2 [30]"
"73";"LabVIEW (G)";"Application, industrial instrumentation-automation";"Yes";"Yes";"Yes";"";"";"";"Yes";"dataflow, visual";"No"
"74";"Lisp";"General";"";"";"Yes";"";"";"";"";"";"Un­known"
"75";"LiveCode";"Application, RAD, general";"";"Yes";"";"";"";"";"Yes";"weakly typed";"No"
"76";"Logtalk";"Artificial intelligence, application";"";"Yes";"";"";"";"Yes";"Yes";"logic";"No"
"77";"LSL";"Virtual worlds content scripting and animation";"Yes";"";"";"Yes";"";"";"Yes";"Scripts exist in in-world objects";"Yes[31]"
"78";"Lua";"Application, embedded scripting";"Yes";"Yes[32]";"Yes";"Yes";"";"Yes";"";"aspect-oriented";"No[33]"
"79";"Maple";"Symbolic computation, numerical computing";"Yes";"Yes";"Yes";"Yes";"";"";"";"distributed";"No"
"80";"Mathematica";"Symbolic language";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"logic, distributed";"No"
"81";"MATLAB";"Highly domain-specific, numerical computing";"Yes";"Yes";"";"Yes";"";"";"";"";"No"
"82";"Modula-2";"Application, system";"Yes";"";"";"";"Yes";"";"";"";"1996, ISO[34]"
"83";"Modula-3";"Application";"Yes";"Yes";"";"";"Yes";"";"";"";"No"
"84";"MUMPS (M)";"Application, databases";"Yes";"";"";"Yes";"";"";"";"concurrent, multi-user, NoSQL, transaction processing";"1977, ANSI"
"85";"Nim";"Application, general, web, scripting, system";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"";"multiple dispatch, Concurrent, meta";"No"
"86";"Oberon";"Application, system";"Yes";"Yes";"";"";"";"";"";"";"No"
"87";"Object Pascal";"Application, general, mobile app, web";"Yes";"Yes";"";"Yes";"Yes";"Yes";"Yes";"structured";"No"
"88";"Objective-C";"Application, general";"Yes";"Yes";"";"Yes";"";"Yes";"";"concurrent";"No"
"89";"OCaml";"Application, general";"Yes";"Yes";"Yes";"Yes";"Yes";"";"";"";"No"
"90";"Occam";"General";"Yes";"";"";"Yes";"";"";"";"concurrent, process-oriented";"No"
"91";"Opa";"Web applications";"Yes";"";"Yes";"";"Yes";"";"";"distributed";"No"
"92";"OpenLisp";"General, Embedded Lisp Engine";"Yes";"Yes";"Yes";"";"Yes";"";"";"";"Supersedes ISLISP, ISO"
"93";"Oxygene";"Application";"Yes";"Yes";"";"";"Yes";"";"";"";"No"
"94";"Oz-Mozart";"Application, distribution, education";"Yes";"Yes";"Yes";"";"";"";"";"concurrent, logic";"No"
"95";"Pascal";"Application, education";"Yes";"";"";"Yes";"";"";"";"";"1983, ISO[35]"
"96";"Perl";"Application, scripting, text processing, Web";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"";"";"No"
"97";"PHP";"Server-side, web application, web";"Yes";"Yes[36]";"Yes[37]";"Yes";"";"Yes";"";"";"\"De facto\" standard via language specification and Requests for Comments (RFCs)"
"98";"PL/I";"Application";"Yes";"Yes";"";"Yes";"";"";"";"";"1969, ECMA-50 (1976)"
"99";"Plus";"Application, system development";"Yes";"";"";"Yes";"";"";"";"";"No"
"100";"PostScript";"Graphics, page description";"Yes";"";"";"Yes";"";"";"";"concatenative, stack-oriented";"Yes, as the PostScript Reference Manual[38]"
"101";"PowerShell";"Administration, application, general, scripting";"Yes";"Yes";"Yes";"Yes";"";"Yes";"";"pipeline";"No"
"102";"Prolog";"Application, artificial intelligence";"";"";"Yes";"Yes";"";"Yes";"";"logic, declarative";"1995, ISO/IEC 13211-1:1995, TC1 2007, TC2 2012, TC3 2017"
"103";"PureBasic";"Application";"";"";"";"Yes";"";"";"";"";"No"
"104";"Python";"Application, general, web, scripting, artificial intelligence, scientific computing";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"aspect-oriented";"\"De facto\" standard via Python Enhancement Proposals (PEPs)"
"105";"R";"Application, statistics";"Yes";"Yes";"Yes";"Yes";"";"Yes";"";"";"No"
"106";"Racket";"Education, general, scripting";"";"Yes";"Yes";"Yes";"";"Yes";"";"modular, logic, meta";"No"
"107";"Raku";"Scripting, text processing, glue";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"";"aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming";"Yes"
"108";"REALbasic";"Application";"";"";"";"Yes";"";"";"";"";"Un­known"
"109";"Rebol";"Distributed";"Yes";"Yes";"Yes";"Yes";"";"Yes";"Yes";"dialected";"No"
"110";"REXX";"Scripting";"Yes";"Yes (NetRexx and Object REXX dialects)";"No";"Yes";"";"No";"No";"";"1996 (ANSI X3.274-1996)"
"111";"RPG";"Application, system";"Yes";"";"";"Yes";"";"";"";"";"No"
"112";"Ruby";"Application, scripting, web";"Yes";"Yes";"Yes";"";"";"Yes";"";"aspect-oriented";"2011(JIS X 3017), 2012(ISO/IEC 30170)"
"113";"Rust";"Application, server-side, system, web";"Yes";"Yes[39]";"Yes";"Yes";"Yes";"";"Yes";"concurrent";"No"
"114";"S";"Application, statistics";"Yes";"Yes";"Yes";"Yes";"";"";"";"";"No"
"115";"S-Lang";"Application, numerical, scripting";"Yes";"";"";"Yes";"";"";"";"";"No"
"116";"Scala";"Application, distributed, web";"Yes";"Yes";"Yes";"";"Yes";"Yes";"Yes";"";"De facto standard via Scala Language Specification (SLS)"
"117";"Scheme";"Education, general";"";"";"Yes";"";"";"";"";"extensible syntax";"1998, R6RS"
"118";"Seed7";"Application, general, scripting, web";"Yes";"Yes";"";"";"Yes";"Yes";"";"multi-paradigm, extensible, structured";"No"
"119";"Simula";"Education, general";"Yes";"Yes";"";"";"";"";"Yes";"discrete event simulation, multi-threaded (quasi-parallel) program execution";"1968"
"120";"Small Basic";"Application, education, games";"Yes";"";"";"";"";"";"Yes";"component-oriented";"No"
"121";"Smalltalk";"Application, general, business, artificial intelligence, education, web";"Yes";"Yes";"Yes";"Yes";"";"Yes";"Yes";"concurrent, declarative";"1998, [ANSI"
"122";"SNOBOL";"Text processing";"";"";"";"";"";"";"";"";"Un­known"
"123";"Standard ML";"Application";"Yes";"";"Yes";"";"Yes";"";"";"";"1997, SML '97[40]"
"124";"Swift";"Application, general";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"concurrent, declarative, protocol-oriented";"No"
"125";"Tcl";"Application, scripting, web";"Yes";"Yes";"Yes";"Yes";"";"Yes";"Yes";"";"No"
"126";"Visual Basic";"Application, RAD, education, business, general, (Includes VBA), office automation";"Yes";"Yes";"";"";"Yes";"";"Yes";"component-oriented";"No"
"127";"Visual Basic .NET";"Application, RAD, education, web, business, general";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"structured, concurrent";"No"
"128";"Visual FoxPro";"Application";"";"Yes";"";"";"";"";"";"data-centric, logic";"No"
"129";"Visual Prolog";"Application";"Yes";"Yes";"Yes";"";"";"";"Yes";"declarative, logic";"No"
"130";"Wolfram Language";"Symbolic language";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"logic, distributed";"No"
"131";"XL";"";"Yes";"Yes";"";"";"";"";"";"concept programming";"No"
"132";"Xojo";"Application, RAD, general, web";"Yes";"Yes";"";"Yes";"";"Yes";"Yes";"";"No"
"133";"XPath/XQuery";"Databases, data processing, scripting";"";"";"Yes";"";"";"";"";"tree-oriented";"W3C 1999 XPath 1, 2010 XQuery 1, 2014 XPath/XQuery 3.0"
"134";"Zsh";"Shell, scripting";"Yes";"";"";"Yes";"";"";"";"loadable modules";"No"
